name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
CONSTRUTORA KAMILOS - BA,50.557.404/0002-30,48110-000,BA,Catu,"RUA DAS MARGARIDAS, 570",Edifícios e Estruturas,B,66
CONSTRUTORA KAMILOS - SP,50.557.404/0001-59,08265-160,SP,Sâo Paulo,"ESTRADA DO COQUEIRO, 200",Edifícios e Estruturas,B,42
CONSTRUTORA NORBERTO ODEBRECHT S/A,15.102.288/0368-88,65075-441,MA,São Luís,"AVENIDA COLARES MOREIRA, SL 1006, 10/EDF S LUIS M",Edifícios e Estruturas,B,54
CONSTRUTORA PELLEGRINI LTDA,51.468.247/0001-78,09015-510,SP,Santo André,"AVENIDA ARTUR DE QUEIROZ, 738",Edifícios e Estruturas,B,42
CONTINENTAL CONTITECH BU IFS,02.036.483/0008-86,27977-325,RJ,Macaé,"AV NACIF SALIM SELEN, S/N/QD I , LT 01-08",Óleo e Gás (Offshore),A,40
CONTINENTAL CONTITECH BU IFS,02.036.483/0008-86,27977-325,RJ,Macaé,"AV NACIF SALIM SELEN, S/N/QD I , LT 01-08",Óleo e Gás (Offshore),A,40
CONTINENTAL DO BRASIL PROD. AUTOMOTIVOS LTDA,02.036.483/0006-14,42810-000,BA,Camaçari,"AV. ATLANTICA, S/N",O&M,B,70
CONTINENTAL DO BRASIL PROD. AUTOMOTIVOS LTDA,02.036.483/0006-14,42810-000,BA,Camaçari,"AV. ATLANTICA, S/N",O&M,B,70
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA,02.036.483/0002-90,84043-735,PR,Ponta Grossa,"AV CONTINENTAL, 2777",Automotiva,B,57
CONTRERAS ENGENHARIA E CONSTRUÇÕES LTDA,02.463.777/0001-18,22631-004,RJ,Rio de Janeiro,"AV. LUIS CARLOS PRESTES, 180/SL 201",Edifícios e Estruturas,B,48
COOPERATIVA DE TRANSP ROD DO PRODUTOR RURAL DO EST DO PARA,13.030.999/0001-63,66073-160,PA,Belém,"AVENIDA CONSELHEIRO FURTADO, 3389/ALTOS SALA 01",Projetos e Engenharia,C,94
Cooperativa Tourão,,,BA,Juazeiro,,Alimentos e Bebidas,,90
COPABO EQUIPAMENTOS DE INFRA-ESTRUTURA PORTUARIA LTDA,08.239.864/0003-34,05805-000,SP,Sâo Paulo,"AVENIDA MARIA COELHO AGUIAR, 215/BL A 3 ANDAR",O&M,B,42
COPABO INDUSTRIA E COMERCIO DE PRODUTOS TECNICOS LTDA,62.238.043/0001-67,06843-195,SP,Embu,"ESTRADA KAIKO, 11",O&M,B,42
Copagas,,,MS,Campo Grande,,Óleo e Gás (Transporte e Tancagem),C,64
COPAPE PRODUTOS DE PETROLEO LTDA,01.428.174/0002-01,07210-090,SP,Guarulhos,"RUA MADRI, 350/SALA 1",Química,B,42
COPASA,,,MG,Belo Horizonte,,saneamento,b,61
COPEBRAS INDUSTRIA - SP,46.567.202/0001-10,11573-904,SP,Cubatão,"ROD CONEGO DOMENICO RANGONI SP055, S/N",Petroquímica,A,68
COPEBRAS INDÚSTRIA - GO,46.567.202/0006-25,75701-790,GO,Catalão,"FAZENDA OUVIDOR DOS CLÁUDIOS, S/N",MINERAÇÃO,A,96
COPEL GERAÇÃO E TRANSMISSÃO S/A,04.370.282/0001-70,81200-240,PR,Curitiba,"RUA JOSE IZIDORO BIAZETTO, 158",Energia (Hidro),A,57
COPENOR COMPANHIA PETROQUIMICA DO NORDESTE,16.234.627/0001-47,42810-000,BA,Camaçari,"RUA ETENO, 1042",Petroquímica,A,41
COPERVALES,,,AL,,,Açúcar e alcool,,78
CP KELCO BRASIL S/A,54.105.671/0001-46,13485-130,SP,Leimeira,"AVENIDA ARARAS, 799",Alimentos e Bebidas,A,104
CPA CENTRAL DE PLASTICOS ABRANTES LTDA - EPP,06.276.452/0001-87,42801-170,BA,Camaçari,"AVENIDA LESTE, 3/POLO APOIO",Química,B,70
CPFL GERACAO DE ENERGIA S/A,03.953.509/0022-71,76450-000,GO,Minaçu,"ESTRADA MINACU A SERRA DA MESA, S/N/KM 37",Energia (Hidro),A,65
CQS SOLDAS ESPECIAIS LTDA,13.350.887/0001-90,93044-834,RS,São Leopoldo,"RUA SETE, 85",O&M,F,71
CRH CANTAGALO INDUSTRIA DE CIMENTOS S.A.,20.927.816/0001-72,28500-000,RJ,Cantagalo,"ROD RJ 166, S/N/KM 2,5",Cimenteira,B,40
CRH CANTAGALO INDUSTRIA DE CIMENTOS S.A.,20.927.816/0001-72,28500-000,RJ,Cantagalo,"ROD RJ 166, S/N/KM 2,5",Cimenteira,B,40
CRH Luzia – MG,,,MG,Santa Luzia,,cimenteira,b,61
CRH Matozinhos – MG,,,MG,Matozinhos,,cimenteira,b,61
CRH SUDESTE INDUSTRIA DE CIMENTOS S/A,21.109.697/0008-80,35588-000,MG,Arcos,,cimenteira,b,61
CRISTIANE SALES DA SILVA 92293662500,12.484.175/0001-09,42850-000,BA,Dias d'Ávila,"RUA VEREADOR ENEAS LISBOA, 40",Revenda,,90
CRM INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA,61.158.283/0171-64,37640-000,MG,Extrema,,Alimentos e Bebidas,c,61
CRV INDUSTRIAL LTDA,03.937.452/0001-92,76340-000,GO,Carmo do Rio Verde,"ROD GO 334,  KM 3,3, S/N",Açúcar e alcool,B,65
CSN - COMPANIA SIDERURGICA NACIONAL,,,PR,Araucária,,Siderurgia,A,57
CSN - Itabirito,,,MG,Itabirito,,MINERAÇÃO,a,61
CSN - mineração Ariquemes,,,RO,Ariquemes,,mineração,,90
CSN - MINERAÇÃO ITAPUÃ,,,RO,Itapuã do Oeste,,mineração,,90
CSN - Ouro Preto,,,MG,Ouro Preto,,mineração,a,58
CSN - São jose da lapa cimentos,,,MG,São José da Lapa,,cimenteira,b,61
CSP COMPANHIA SIDERURGICA DO PECEM,09.509.535/0001-67,62674-000,CE,São Gonçalo do Amarante,"ROD CE 155, S/N",siderurgia,A+,95
CUT & WELD COMERCIO E REPRESENTACAO LTDA,14.032.609/0001-57,92320-620,RS,Canoas,"RUA CLOVIS BEVILAQUA, 1182/SALA 02",Revenda,F,71
DAAM COMERCIO E SERVICOS OFFSHORE LTDA ME,13.992.477/0001-42,27940-461,RJ,Macaé,"RUA LEOPOLDINA ARAUJO, 953",Revenda,C,40
DANIELE BARRETO LUCCHESI - ME,22.024.374/0001-80,40445-000,BA,Salvador,"RUA BARAO DE COTEGIPE, 201/SALA 2",Revenda,,90
DANTOOLS FERRAMENTAS - EIRELI,29.077.923/0001-23,06421-060,SP,Barueri,"RUA ILHA DO GOVERNADOR, 26/CASA 2",Revenda,C,42
DE DIETRICH DO BRASIL LTDA,00.951.755/0001-71,03210-001,SP,Sâo Paulo,"RUA COSTA BARROS, 2942",O&M,B,42
DECAL BRASIL LTDA,03.973.894/0001-94,55590-000,PE,Ipojuca,"AVENIDA PORTUARIA, S/N",Química,B,46
DEEP SEA SUPPLY NAVEGACAO MARITIMA S/A,11.132.193/0001-50,20031-170,RJ,Rio de Janeiro,"AVENIDA REPUBLICA DO CHILE, 230/SALA 2301",Naval,A,74
DEEP SEA SUPPLY NAVEGACAO MARITIMA S/A,11.132.193/0001-50,20031-170,RJ,Rio de Janeiro,"AVENIDA REPUBLICA DO CHILE, 230/SALA 2301",Naval,A,74
DEEPOCEAN BRASIL SERVICOS LTDA,08.932.031/0001-92,27933-440,RJ,Macaé,"RUA ABILIO FERNANDES BANDEIRA, 106",Naval,A,74
DELP ENGENHARIA MECANICA S/A,17.161.936/0008-73,33200-000,MG,Vespasiano,,siderurgia,c,61
DELTA STAR ENGENHARIA LTDA - ME,27.818.639/0001-35,60170-021,CE,Fortaleza,"RUA BARBOSA DE FREITAS, 1741",Edifícios e Estruturas,B,95
DENILSON DE LIMA - EPP,10.888.440/0001-80,42802-000,BA,Camaçari,"RUA ABRANTES, 8B/1 ANDAR",Revenda,B,90
DENILSON DE LIMA - EPP,10.888.440/0001-80,42802-000,BA,Camaçari,"RUA ABRANTES, 8B/1 ANDAR",Revenda,B,70
DENUSA DESTILARIA NOVA UNIÃO S/A,00.595.322/0001-20,75950-000,GO,Jandaia,"RODOVIA BR 060, S/N/KM 274",Açúcar e alcool,B,65
DESTAQUE ENGENHARIA E EMPREENDIMENTOS LTDA,06.043.714/0001-63,89245-000,SC,Araquari,"RUA CORONEL ALMEIDA, 300/CX POSTAL 78",Outro,C,57
Destilaria Veredas ,,,MG,João Pinheiro,,Açúcar e alcool,b,90
DETEN QUIMICA S/A,13.546.106/0001-37,42810-000,BA,Camaçari,"RUA HIDROGENIO, 1744",Química,A+,41
DETROIT BRASIL LTDA,04.988.669/0001-94,88311-500,SC,Itajaí,"RUA CESAR AUGUSTO DALCOQUIO, 4500",Naval,A,57
DIAMANFER FERRAMENTAS TÉCNICAS LTDA,57.119.042/0001-63,12645-896,SP,Atibaia,"EST MUNICIPAL MASAKASU HAYASHIDA, 1405",O&M,B,104
DIMOPEL COMERCIAL LTDA,35.771.310/0001-94,20941-070,RJ,Rio de Janeiro,"AVENIDA PEDRO II, 232/LOJA G",Revenda,C,90
DINAMARK IMPACTO (USINA),,,AL,,,Açúcar e alcool,,78
DINC - Distrito Nilo Coelho Irrigado,,,BA,Juazeiro,,saneamento,,90
DIPROTECNICA DIST DE PRODUTOS TECNICOS IMPORT & EXP EIRELI,23.647.289/0001-30,60440-593,CE,Fortaleza,"AV HUMBERTO MONTE, 2929",O&M,F,95
DISTRIBUIDORA DE AGUA CAMACARI S/A,01.944.031/0001-63,42810-000,BA,Camaçari,"RUA ETENO, 1561",saneamento,A,41
DISTRIBUIDORA DE SUPRIMENTOS OCEAN RIO 2000 LTDA,03.778.273/0001-50,21531-010,RJ,Rio de Janeiro,"RUA GUAIUBA, 32",Revenda,C,74
DISTRITO DE IRRIGACAO SENADOR NILO COELHO,12.656.690/0001-10,56300-000,PE,Petrolina,"PROJETO DE IRRIGAÇÃO NILO COELHO, S/N/VILA CS 1",Outro,A,46
DLT BOMBAS COMERCIO E SERVICOS LTDA - ME,05.388.238/0001-50,13050-080,SP,Campinas,"AVENIDA RICARDO BASSOLI CEZARE, 1181",O&M,B,104
DNB DISTRIBUIDORA NACIONAL DE BOMBAS LTDA - EPP,96.803.697/0001-08,40210-750,BA,Salvador,"AVENIDA ANITA GARIBALDI, 27/29",O&M,B,70
DNOW BRASIL DISTRIBUICAO DE PRODUTOS INDUSTRIAIS LTDA,19.483.731/0001-63,27932-315,RJ,Macaé,"RUA DA PERFURACAO, S/N/QD D, LT 51",Energia (Outros),B,40
DNOW BRASIL DISTRIBUICAO DE PRODUTOS INDUSTRIAIS LTDA,19.483.731/0001-63,27932-315,RJ,Macaé,"RUA DA PERFURACAO, S/N/QD D, LT 51",Revenda,C,90
DOMMO ENERGIA S.A.,08.926.302/0007-92,24030-012,RJ,Niterói,"AVENIDA FELICIANO SODRE, 325",Óleo e Gás (Offshore),A+,77
DONATA DA COSTA BARROS,24.697.104/0001-65,78110-000,MT,Várzea Grande,"RUA RIO GRANDE DO SUL, S/N",Revenda,,75
DORAL BRASIL INTERNATIONAL SUPPLY LTDA-ME,23.288.955/0001-91,21041-060,RJ,Rio de Janeiro,"AVENIDA ROMA, 368",Revenda,C,74
DOW AGROSCIENCES INDUSTRIAL - Franco da Rocha,47.180.625/0021-90,07809-105,SP,Franco da Rocha,"ROD PRES TANCREDO DE ALMEIDA NEVES, S/N/KM 38",Química,A,67
DOW AGROSCIENCES INDUSTRIAL - Jacareí,47.180.625/0020-09,12321-150,SP,Jacareí,"AV PRESIDENTE HUMBERTO DE ALENCAR CASTEL, 3200",Química,A,50
DOW BRASIL - Camaçari,60.435.351/0020-10,42810-000,BA,Camaçari,"RUA HIDROGENIO, 3076",Petroquímica,a,70
DOW BRASIL - Candeias,60.435.351/0017-14,43813-000,BA,Candeias,"VIA MATOIM, S/N/ROTULA 3",Química,,66
DOW BRASIL - Guarujá,53.877.627/0009-49,11460-902,SP,Guarujá,"AV. SANTOS DUMONT, 4444",Química,A,68
DOW BRASIL - Hortolândia,53.877.627/0013-25,13186-903,SP,Hortolândia,"ROD JORNALISTA FRANCISCO AGUIRRA PROENCA, S/N/KM 8,5",Química,A,104
DOW CORNING DO BRASIL LTDA,61.204.657/0001-65,13186-903,SP,Hortolândia,"ROD JORN FRANCISCO AGUIRRA PROENCA, S/N/KM 8,5",Química,A,104
DOW Luis Eduardo Magalhães,,,ba,Luís Eduardo Magalhães,,Fertilizantes,,90
DRYAD SUPPLY LTDA,25.256.519/0001-66,27915-012,RJ,Macaé,"AV RUI BARBOSA, 1760/LOJA 05",Revenda,C,40
DRYAD SUPPLY LTDA,25.256.519/0001-66,27915-012,RJ,Macaé,"AV RUI BARBOSA, 1760/LOJA 05",Revenda,C,74
DSF SERVIÇOS E FORNEC. DE NAVIOS LTDA,56.126.964/0001-35,11015-231,SP,Santos,"RUA SANTOS DUMONT, 133",Naval,A,68
DURATEX S/A,97.837.181/0024-33,18203-340,SP,Itapetininga,"RODOVIA RAPOSO TAVARES, S/N/KM 172,1",Papel e Celulose,b,69
DURATEX S/A,97.837.181/0011-19,38056-610,MG,Uberaba,"AV. BERNARDO SEIBEL, 700",PAPEL E CELULOSE,b,59 
E B SIMOES COMERCIO E SERVICOS DE INFORMATICA - ME,15.564.603/0001-93,27915-120,RJ,Macaé,"RUA ANTONIO COUTINHO, 63",Revenda,C,40
E B SIMOES COMERCIO E SERVICOS DE INFORMATICA - ME,15.564.603/0001-93,27915-120,RJ,Macaé,"RUA ANTONIO COUTINHO, 63",Revenda,C,74
E F LEAL COMERCIO DE EQUIPAMENTOS DIVERSOS,21.061.897/0001-33,28970-000,RJ,Araruama,"RUA BRUNO JARDIM DA SILVA COELHO, 440",REVENDA,C,40
E F MACEDO COMERCIO E SERVIÇOS OFFSHORE - ME,27.292.417/0001-21,28925-249,RJ,Cabo Frio,"ALAMEDA DAS GARÇAS, 09",Revenda,C,90
E SOUZA E FILHOS MAT DE CONSTR LTDA,08.931.894/0001-45,27943-700,RJ,Macaé,"AVENIDA FABIO FRANCO, 58",Revenda,C,40
EB INDUSTRIA E COMERCIO DE BOMBAS E FUNDIDOS EIRELI,12.615.299/0001-78,13413-081,SP,Piracicaba,"RUA DR. PLINIO CAMILO, 585",O&M,A,104
EBRASIL NORTE GERACAO DE ENERGIA LTDA,12.058.232/0001-80,69405-000,AM,Iranduba,"ROD AM 070 ESTRADA MANOEL URBANO, KM 12, S/N",Energia (Hidro),,56
ECOPARQUE - NATURA COSMÉTICOS,00.190.037/0007-68,68795-000,PA,Benevides,"ROD. ENG. AUGUSTO MEIRA FILHO, 3391",Química,B,94
ECR ENGENHARIA,05.254.961/0001-46,68447-970,PA,Barcarena,"ROD. DA INTEGRAÇÃO, KM 09, LOTE 11",Projetos e Engenharia,a,93
EDER LEITE SOARES - ME,11.076.786/0001-47,12238-040,SP,São José dos Campos,"RUA GANDU, 82",Revenda,C,50
EDFERR JR TECNOLOGIA E SERVICOS LTDA,13.115.277/0001-01,42800-970,BA,Camaçari,"AV. JORGE AMADO, S/N/LOTE 31 A 33",Revenda,B,70
EDIFICAÇÕES ITAIGARA S/A,14.151.714/0001-05,40150-130,BA,Salvador,"RUA HUMBERTO DE CAMPOS, 251",Edifícios e Estruturas,B,70
EDN - ESTIRENO DO NORDESTE S/A / PROQUIGEL,10.242.753/0002-48,42810-010,BA,Camaçari,"RUA HIDROGENIO, 1879",Petroquímica,B,70
EDN - ESTIRENO DO NORDESTE S/A / PROQUIGEL,10.242.753/0002-48,42810-010,BA,Camaçari,"RUA HIDROGENIO, 1879",Petroquímica,B,70
EDN - ESTIRENO DO NORDESTE S/A / PROQUIGEL,10.242.753/0002-48,42810-010,BA,Camaçari,"RUA HIDROGENIO, 1879",Petroquímica,B,70
EDUARDO DE SANTANA PEREIRA - ME,20.307.069/0001-70,04240-000,SP,Sâo Paulo,"RUA ANNY, 1110/CASA 04",Revenda,C,42
EDUARDO DELFINO ALVES - ME,04.172.988/0001-27,37704-049,MG,Poços de Caldas,,Revenda,C,61
Eka Chemicals,,,BA,Eunápolis,,química,,90
ELDORADO BRASIL CELULOSE S/A,07.401.436/0001-31,79641-300,MS,Três Lagoas,"ROD BR 158, S/N/KM 231",PAPEL E CELULOSE,A+,60
ELEB EQUIPAMENTOS LTDA,55.763.775/0001-00,12237-540,SP,São José dos Campos,"RUA ITABAIANA, 40",O&M,B,50
ELEKEIROZ - Camaçari 1,13.788.120/0010-38,42810-280,BA,Camaçari,"RUA HIDROGENIO, 3076A",Petroquímica,A+,41
ELEKEIROZ - Camaçari 2,13.788.120/0004-90,42810-030,BA,Camaçari,"RUA JOAO URSULO, 1261",Petroquímica,b,41
ELETROBRAS TERMONUCLEAR S/A,42.540.211/0002-48,23948-000,RJ,Angra dos Reis,"ROD PROCURADOR HAROLDO FERNANDES DUARTE, BR 101/RJ/KM 521,56",Energia (Outros),A+,48
ELETROTECNICA JARAGUA LTDA,78.606.522/0001-29,81130-310,PR,Curitiba,"RUA LAUDELINO FERREIRA LOPES, 2399",Outro,A,57
ELFE OPERACAO E MANUTENCAO S/A,97.428.668/0001-76,27932-353,RJ,Macaé,"RUA PEDRO HAGE JAHARA, 400/AREA 1",Óleo e Gás (Offshore),B,40
ELFE OPERACAO E MANUTENCAO S/A,97.428.668/0001-76,27932-353,RJ,Macaé,"RUA PEDRO HAGE JAHARA, 400/AREA 1",EPC,A,90
ELFE OPERACAO E MANUTENCAO S/A,97.428.668/0001-76,27932-353,RJ,Macaé,"RUA PEDRO HAGE JAHARA, 400/AREA 1",Óleo e Gás (Offshore),B,73
EMBRAER - São José dos Campos 2,07.689.002/0006-93,12247-004,SP,São José dos Campos,"RODOVIA PRESIDENTE DUTRA, S/N/KM 134",O&M,B,50
EMBRAER - São José dos Campos 1,07.689.002/0001-89,12227-901,SP,São José dos Campos,"AVENIDA BRIGADEIRO FARIA LIMA, 2170",O&M,B,50
EMBRAER - Taubaté,07.689.002/0010-70,12042-000,SP,Taubaté,"RODOVIA FLORIANO RODRIGUES PINHEIRO, 333",O&M,B,50
EMPOWER SERV. DE LOC MANUT. E COM. ATACADISTA DE MAQ. LTDA,08.414.871/0001-63,24040-050,RJ,Niterói,"RUA SANTA CLARA, 102",Revenda,C,74
EMPRAFIL ELETRO MECANICA LTDA EPP,28.400.968/0001-24,29164-075,ES,Serra,"ROD NORTE SUL, 444",Revenda,C,49
EMPRESA BAHIANA DE AGUAS E SANEAMENTO,13.504.675/0001-10,44085-030,BA,Feira de Santana,"RUA JOAO EVANGELISTA, 590",Saneamento,A,70
EMPRESA BAHIANA DE AGUAS E SANEAMENTO,13.504.675/0001-10,44085-030,BA,Feira de Santana,"RUA JOAO EVANGELISTA, 590",Saneamento,A,70
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA,00.352.294/0015-16,41510-055,BA,Salvador,"PRAÇA GAGO COUTINHO, S/N/AEROPORTO",Edifícios e Estruturas,B,70
EMPRESA BRASILEIRA DE MATERIAIS PARA CONSTRUÇÃO LTDA,56.883.820/0002-04,13510-000,SP,Santa Gertrudes,"AV. CONDE GUILHERME PRATES, 382",Mineração,B,51
EMPRESA BRASILEIRA DE SERVIÇOS E PERFURAÇÃO LTDA,15.031.293/0001-41,59623-300,RN,Mossoró,"ROD. BR 304 KM 31,7, S/N",O&M,C,47
EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S.A,02.805.610/0002-79,11095-700,SP,Santos,"ESTRADA PARTICULAR DA CODESP, S/N",Naval,A,68
EMPRESA CARIOCA DE PRODUTOS QUIMICOS S/A,33.346.586/0058-35,42810-000,BA,Camaçari,"RUA ETENO, 3189",Química,B,70
EMPRESA DE NAVEGAÇÃO ELCANO - RJ,04.616.210/0001-60,22250-040,RJ,Rio de Janeiro,"PRAIA BOTAFOGO, 440",Naval,A,74
EMPRESA DE NAVEGAÇÃO ELCANO - SSA,04.616.210/0003-21,40010-020,BA,Salvador,"AVENIDA ESTADOS UNIDOS, EDF EST. UNIDOS, 130/SL 903",Naval,,70
EMPRESA NACIONAL DE AGUAS E SANEAMENTO,34.079.590/0001-01,45600-061,BA,Itabuna,"RUA ADOLFO MARON, 18",Saneamento,B,70
ENEL,,,CE,,,Energia (Outros),,95
Enel Green Power,,,BA,Caetité,,Energia (Éolica),,90
ENERGETICA SERRANOPOLIS LTDA,05.643.160/0001-72,75820-000,GO,Serranópolis,"ROD GO 184, S/N/KM 65",Açúcar e alcool,B,65
ENERGIA SUSTENTAVEL DO BRASIL S.A.,09.029.666/0004-90,76840-000,RO,Porto Velho,"RODOVIA-BR, KM 824, S/N",Energia (Outros),,90
ENGECAMPO ENGENHARIA LTDA,91.894.774/0001-69,90240-602,RS,Porto Alegre,"AVENIDA PARANA, 2000",O&M,F,71
ENGEGLOBAL CONSTRUCOES LTDA,14.940.563/0001-74,78040-365,MT,Cuiabá,"AVENIDA MIGUEL SUTIL, 8695",ENERGIA (Hidro),,75
ENGEMONT CONSTRUÇÕES LTDA,61.849.469/0001-94,01140-100,SP,Sâo Paulo,"RUA ASSIS, 116",O&M,B,42
ENGEPOWER ENGENHARIA E COMERCIO LTDA,00.772.864/0001-21,06114-022,SP,Osasco,"AVENIDA DIOGO ANTONIO FEIJO, 451",O&M,B,42
ENGEQUIP-RJ METAL MECANICA E CONTRUCOES LTDA ME,10.977.915/0001-05,21330-650,RJ,Rio de Janeiro,"RUA QUIRIRIM, 550",O&M,B,48
ENGESERVICE SERVIÇOS INDUSTRIAIS LTDA - ME,06.326.675/0001-01,48280-000,BA,Mata de São João,"EST DE AMADO BAHIA, 02",Projetos e Engenharia,,90
ENGEVAC SERVICOS DE MANUTENCAO LTDA - ME,15.581.947/0001-00,42850-000,BA,Dias d'Ávila,"1A TRAVESSA JOANA ANGELICA, 04",O&M,B,70
ENGIE BRASIL,02.474.103/0002-08,88745-000,SC,Capivari de Baixo,"AV PAULO SANTOS MELLO, S/N",Energia (Termo),B,57
ENGPISO ENGENHARIA E SOLUCOES INTEGRADAS,00.647.217/0001-98,41213-000,BA,Salvador,"AVENIDA ULYSSES GUIMARAES, 5000/CASA 3",Edifícios e Estruturas,,103
ENLOG TRANSPORTES E LOGISTICA LTDA - ME,10.267.781/0005-62,74583-290,GO,Goiânia,"RUA EXECUTIVOS, DOS, 81/LOTE 34",Revenda,B,65
ENTEC GUINDASTES E CONTEINERES LTDA,04.527.149/0001-84,06908-300,AM,Manaus,"AV COSME FERREIRA, 1620",O&M,,56
EOLICA ICARAIZINHO GERACAO E COMERCIALIZACAO DE ENERGIA S/A,05.532.555/0002-89,62540-000,CE,Amontada,"RUA ADERBAL PRACIANO SAMPAIO, S/N",Energia (Éolica),C,95
EQUIFLEX DISTRIBUIDORA ELETRICA LTDA,03.769.669/0001-30,32215-000,MG,Contagem,,Revenda,C,61
EQUINOR BRASIL ENERGIA LTDA,04.028.583/0002-09,28200-000,RJ,São João da Barra,"FAZ SACO DANTAS, S/N/LT A12",Óleo e Gás (Offshore),A+,48
EQUIPE-INDUSTRIA MECANICA LTDA,54.383.500/0001-89,13401-620,SP,Piracicaba,"RODOVIA PIRACICABA-TIETE, S/N",O&M,B,104
ERB ARATINGA S/A,12.901.925/0001-92,43813-000,BA,Candeias,"RODOVIA MATOIM, S/N/ROTULA 3",Revenda,,66
ESTALEIRO ATLANTICO SUL S/A,07.699.082/0001-53,55590-000,PE,Ipojuca,"ILHA DE TATUOCA, S/N/COMPLEXO SUAPE",Naval,F,46
ESTALEIRO BRASA LTDA,14.983.032/0001-69,24040-005,RJ,Niterói,"ILHA DO CAJU, 671",Naval,A,48
ESTALEIRO BRASFELS LTDA,03.669.753/0001-82,23905-000,RJ,Angra dos Reis,"ROD RIO SANTOS, KM 81, S/N/PARTE",Naval,A,48
ESTALEIRO JURONG ARACRUZ LTDA,11.200.595/0001-45,29198-025,ES,Aracruz,"RODOVIA ES 010, S/N/KM 56",Naval,A,49
Estaleiro PARAGUAÇU,,,ba,Maragogipe,,Naval,A,70
ESTALEIRO TCE LTDA,00.308.178/0001-02,24050-190,RJ,Niterói,"RUA MARIO TRILHA, 215",Naval,A,48
ESTALEIROS DO BRASIL LTDA,09.628.613/0001-42,96225-000,RS,São José do Norte,"EST PUBLICA, S/N",Naval,A,71
ESTAMPARIA INDUSTRIAL ARATELL LTDA,61.308.706/0001-00,03109-040,SP,Sâo Paulo,"RUA CADIRIRI, 274",O&M,B,42
ESTEL SERVIÇOS - Aracruz l,27.451.582/0001-89,29192-503,ES,Aracruz,"AVE PRESIDENTE CASTELO BRANCO, S/N",EPC,A,49
ESTEL SERVIÇOS - Aracruz ll,27.451.582/0013-12,29192-510,ES,Aracruz,"ROSANGELA LOZER FERNANDES, 631/C EMPRESARIAL",EPC,A,49
ETERNIT S.A.,61.092.037/0029-82,43700-000,BA,Simões Filho,"ROD. BA-093, KM 4, S/N",Química,B,70
ETERNIT S.A.,61.092.037/0029-82,43700-000,BA,Simões Filho,"ROD. BA-093, KM 4, S/N",Química,B,70
ETESCO CONSTRUCOES E COMERCIO I,61.329.181/0002-70,27930-120,RJ,Macaé,"ALAMEDA TENENTE CELIO, 185",Revenda,C,40
ETESCO CONSTRUCOES E COMERCIO I,61.329.181/0002-70,27930-120,RJ,Macaé,"ALAMEDA TENENTE CELIO, 185",Revenda,C,40
ETESCO CONSTRUCOES E COMERCIO Il,61.329.181/0002-66,27930-116,RJ,Macaé,"ALAMEDA TENENTE CELIO, 181",Revenda,C,73
ETM ENGENHARIA LTDA,90.952.748/0002-68,09390-620,SP,Paulínia,"AVENIDA JOSE PAULINO, 3898",O&M,B,104
ETX SERV. DE PERF. E SONDAGEM DE PETROLEO LTDA,08.957.999/0002-54,59628-803,RN,Mossoró,"RUA RANIERE BARBOSA PAIVA, 735",O&M,F,47
EVAN DO BRASIL COMERCIO E SERVIÇOS LTDA,13.243.366/0001-33,28890-000,RJ,Rio das Ostras,"RUA CAMPO DE BICUDO, 191/CASA 02",Revenda,C,40
EVERTON FERREIRA DE LIMA,17.436.918/0001-80,59618-700,RN,Mossoró,"AVENIDA ALBERTO MARANHÃO, 3683",REVENDA,C,47
EVONIK BRASIL LTDA,62.695.036/0054-04,84174-150,PR,Castro,"RODOVIA PR-340, S/N/KM 115",Agrícola,B,57
EXOLTECH SERVIÇOS TECNICO LTDA,20.826.443/0001-43,43820-220,BA,Candeias,"RUA PADRE ANTONIO GOES, 13/SANTOS ANTONIO",Projetos e Engenharia,,66
EXPANJET GLOBAL SOLUTIONS COMERCIO MAT INDUSTRIAIS LTDA,08.405.959/0001-19,42802-580,BA,Camaçari,"RUA DO BRONZE, S/N/QD 05 LT 07",O&M,,90
EXPANSAO SERVICOS E COMERCIO LTDA,16.847.542/0001-34,42700-000,BA,Lauro de Freitas,"RUA NILDA AMARAL PINTO, 291",O&M,,41
EXTERRAN - Jaguaripe,02.805.820/0044-16,44482-000,BA,Jaguaripe,"FAZENDA FAZENDINHA, S/N",O&M,B,70
EXTERRAN - Jaguaripe,02.805.820/0044-16,44482-000,BA,Jaguaripe,"FAZENDA FAZENDINHA, S/N",O&M,B,70
EXTERRAN - Jaguaripe,02.805.820/0044-16,44482-000,BA,Jaguaripe,"FAZENDA FAZENDINHA, S/N",O&M,B,70
EXTERRAN - São Sebastião do Passe,02.805.820/0018-24,43855-000,BA,São Sebastião do Passé,"RUA DA ESTACAO DE LAMARAO, S/N",O&M,,70
EXTERRAN - São Sebastião do Passe,02.805.820/0018-24,43855-000,BA,São Sebastião do Passé,"RUA DA ESTACAO DE LAMARAO, S/N",O&M,B,70
