name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
ALCOOL DO PARANA TERMINAL PORTUARIO S.A.,04.087.783/0001-43,83221-565,PR,Paranaguá,"AVENIDA BENTO ROCHA, 1342/TERREO",Óleo e Gás (Transporte e Tancagem),B,57
ALESTIS DO BRASIL INDUSTRIA AEROESPACIAL LTDA,09.071.368/0001-15,12227-000,SP,São José dos Campos,"AVENIDA BRIGADEIRO FARIA LIMA, 1699",O&M,B,50
ALFREDO A POSSEBON FILHO E CIA LTDA,01.851.342/0001-88,83900-000,PR,São Mateus do Sul,"RUA LEDY AFONSO RODERJAN, 1444",Outro,C,57
Algogold Santa Barbara,,,MG,Santa Bárbara,,mineração,a,58
ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA,02.427.026/0020-09,20070-003,RJ,Rio de Janeiro,"AV. RIO BRANCO, 25",Naval,B,74
ALIMENTOS ORLANDIA S/A  BREJEIRO ALIMENTOS,,,go,Anápolis,,Alimentos e Bebidas,b,90
ALISSON GOMES DA SILVA - AUTO PEÇAS,29.987.208/0001-28,38600-000,MG,Paracatu,"RUA WOLNEY MEIRELES, 730",Revenda,c,90
ALPHA FORNECIMENTOS E SERVIÇOS TECNICOS LTDA,04.101.420/0001-15,11611-633,SP,São Sebastião,"RUA NAZARÉ, 81",Revenda,C,50
ALPHATEC S/A,05.928.067/0001-04,27966-530,RJ,Macaé,"AV ARAXÁ, 156",EPC,A,39
ALSTOM EOLICA,,,RN,,,Energia (Éolica),A+,47
ALTA PRESSÃO BOMBAS E CILINDROS HIDRÁULICOS LTDA,18.755.215/0001-88,38400-488,MG,Uberlândia,"AVENIDA PROFESSORA MINERVINA C. OLIVEIRA, 507",O&M,c,59 
ALTERNATIVA SOLUÇÕES ELETRICAS LTDA - ME,11.650.126/0001-28,08740-110,SP,Mogi das Cruzes,"RUA ONZE DE AGOSTO, 32",Revenda,C,42
ALUBAR METAIS E CABOS S.A.,08.262.121/0001-13,68447-000,PA,Barcarena,"RODOVIA PA 481, KM 2,3",Siderurgia,B,94
ALUNORTE ALUMINA DO NORTE DO BRASIL S/A,05.848.387/0003-16,68447-000,PA,Barcarena,"ROD PA 481 KM 12, S/N",Química,A+,93
